                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.81149,                 4.6784,                0.74808,                0.60473,                 1.4191,                0.32832,                      1,                0.33167,                0.17496,                      0,                      0,                      0,                      0,                 2.1817,                 8.3379,                0.67411,                 5.7345,                 1.7928,             0.00030063,             0.00030063,             0.00030063
                     35,                0.81223,                 5.9737,                 0.7328,                0.58908,                 1.3913,                0.36887,                      1,                  0.398,                   0.16,                      0,                      0,                      0,                      0,                 2.4879,                 8.4007,                 0.6715,                 4.3594,                 1.9464,             0.00029852,             0.00029852,             0.00029852
                     36,                 0.7063,                  5.952,                0.70494,                0.65903,                 1.2766,                0.36887,                      1,                  0.398,                   0.16,                      0,                      0,                      0,                      0,                 2.4879,                 8.4007,                 0.6715,                 4.3594,                 1.9464,             0.00029575,             0.00029575,             0.00029575
                     37,                0.71747,                 6.1051,                0.72221,                0.59736,                 1.3394,                0.38499,                      1,                  0.398,                0.18695,                      0,                      0,                      0,                      0,                 2.4925,                 8.3394,                0.67152,                 4.4019,                 2.1518,             0.00029232,             0.00029232,             0.00029232
                     38,                0.53368,                 6.1692,                0.70062,                0.44564,                 1.1375,                0.38499,                      1,                  0.398,                0.18695,                      0,                      0,                      0,                      0,                 2.4925,                 8.3394,                0.67152,                 4.4019,                 2.1518,             0.00028823,             0.00028823,             0.00028823
                     39,                0.76445,                 5.9623,                0.70769,                0.73658,                 1.3326,                0.31714,                0.93928,                0.33167,                0.15565,                      0,                      0,                      0,                      0,                 2.4163,                 8.3294,                0.67347,                 5.1594,                 2.2535,             0.00028348,             0.00028348,             0.00028348
                     40,                0.58476,                  6.242,                0.71408,                0.47682,                  1.204,                0.31714,                0.93928,                0.33167,                0.15565,                      0,                      0,                      0,                      0,                 2.4163,                 8.3294,                0.67347,                 5.1594,                 2.2535,             0.00027807,             0.00027807,             0.00027807
                     41,                0.74006,                 6.4189,                0.73116,                0.57599,                 1.2935,                0.32832,                      1,                0.33167,                0.23217,                      0,                      0,                      0,                      0,                 1.4971,                 8.1833,                0.67949,                 7.8779,                   1.46,               0.000272,               0.000272,               0.000272
                     42,                0.69021,                 5.1964,                0.74336,                0.50547,                 1.2362,                0.32832,                      1,                0.33167,                0.23217,                      0,                      0,                      0,                      0,                 1.4971,                 8.1833,                0.67949,                 7.8779,                   1.46,             0.00026527,             0.00026527,             0.00026527
                     43,                0.84757,                 6.5628,                0.71104,                0.68955,                 1.3937,                0.33016,                      1,                0.33167,                0.26533,                      0,                      0,                      0,                      0,                 1.3155,                 7.7518,                0.68893,                 5.3957,                 1.3659,             0.00025788,             0.00025788,             0.00025788
                     44,                   0.82,                 4.6589,                0.69688,                0.63543,                 1.4185,                0.33016,                      1,                0.33167,                0.26533,                      0,                      0,                      0,                      0,                 1.3155,                 7.7518,                0.68893,                 5.3957,                 1.3659,             0.00024983,             0.00024983,             0.00024983
                     45,                0.65847,                 5.8847,                0.73084,                0.51799,                 1.2867,                0.28408,                      1,                0.33167,                0.26533,                      0,                      0,                      0,                      0,                 1.2858,                 7.5989,                0.69763,                 4.3081,                 1.3706,             0.00024112,             0.00024112,             0.00024112
                     46,                0.69367,                  5.076,                0.71797,                0.55172,                 1.2905,                0.28408,                      1,                0.33167,                0.26533,                      0,                      0,                      0,                      0,                 1.2858,                 7.5989,                0.69763,                 4.3081,                 1.3706,             0.00023175,             0.00023175,             0.00023175
                     47,                0.51151,                 6.0502,                 0.7042,                0.46206,                 1.1298,                0.44029,                      1,                 0.4975,                0.41208,                      0,                      0,                      0,                      0,                 1.2286,                 7.3832,                0.70752,                 4.0756,                 1.3308,             0.00022172,             0.00022172,             0.00022172
                     48,                0.69822,                  5.589,                0.70745,                0.50282,                 1.2628,                0.44029,                      1,                 0.4975,                0.41208,                      0,                      0,                      0,                      0,                 1.2286,                 7.3832,                0.70752,                 4.0756,                 1.3308,             0.00021103,             0.00021103,             0.00021103
                     49,                0.74804,                 4.7044,                0.70901,                0.55169,                 1.2778,                0.36486,                      1,                  0.398,                   0.33,                      0,                      0,                      0,                      0,                 1.2131,                 7.3789,                0.71791,                 3.7265,                 1.3247,             0.00019968,             0.00019968,             0.00019968
                     50,                0.99167,                 5.1497,                 0.7306,                0.73607,                 1.5938,                0.36486,                      1,                  0.398,                   0.33,                      0,                      0,                      0,                      0,                 1.2131,                 7.3789,                0.71791,                 3.7265,                 1.3247,             0.00018767,             0.00018767,             0.00018767
                     51,                0.51553,                 5.6744,                0.68727,                 0.5545,                 1.2421,                0.36366,                      1,                  0.398,                0.33026,                      0,                      0,                      0,                      0,                 1.2247,                 7.2392,                0.73065,                 3.4558,                 1.3059,               0.000175,               0.000175,               0.000175
                     52,                0.44641,                 6.0628,                 0.6693,                0.52941,                 1.2273,                0.36366,                      1,                  0.398,                0.33026,                      0,                      0,                      0,                      0,                 1.2247,                 7.2392,                0.73065,                 3.4558,                 1.3059,             0.00016167,             0.00016167,             0.00016167
                     53,                0.46724,                 5.7128,                0.70187,                0.53883,                 1.2701,                0.36366,                      1,                  0.398,                0.33026,                      0,                      0,                      0,                      0,                 1.2247,                 7.2392,                0.73065,                 3.4558,                 1.3059,             0.00014768,             0.00014768,             0.00014768
                     54,                 0.4556,                 5.6262,                0.67111,                0.57572,                 1.0966,                0.33894,                      1,                  0.398,                 0.3184,                      0,                      0,                      0,                      0,                 1.2927,                 7.1865,                0.74023,                 3.0812,                 1.2981,             0.00013303,             0.00013303,             0.00013303
                     55,                0.55274,                 5.7447,                0.70144,                   0.55,                  1.352,                0.33894,                      1,                  0.398,                 0.3184,                      0,                      0,                      0,                      0,                 1.2927,                 7.1865,                0.74023,                 3.0812,                 1.2981,             0.00011772,             0.00011772,             0.00011772
                     56,                0.39273,                 5.9507,                0.67891,                 0.4096,                    1.1,                0.33894,                      1,                  0.398,                 0.3184,                      0,                      0,                      0,                      0,                 1.2927,                 7.1865,                0.74023,                 3.0812,                 1.2981,             0.00010175,             0.00010175,             0.00010175
                     57,                0.49257,                 5.7928,                0.68844,                0.55309,                 1.2176,                0.33174,                      1,                  0.398,                 0.3184,                      0,                      0,                      0,                      0,                 1.3139,                 7.3991,                0.74318,                 2.7702,                  1.298,              8.512e-05,              8.512e-05,              8.512e-05
                     58,                 0.4976,                   5.95,                0.65692,                0.47568,                 1.2218,                0.33174,                      1,                  0.398,                 0.3184,                      0,                      0,                      0,                      0,                 1.3139,                 7.3991,                0.74318,                 2.7702,                  1.298,              6.783e-05,              6.783e-05,              6.783e-05
                     59,                0.41319,                 5.5127,                0.68768,                0.43347,                 1.1761,                0.33174,                      1,                  0.398,                 0.3184,                      0,                      0,                      0,                      0,                 1.3139,                 7.3991,                0.74318,                 2.7702,                  1.298,              4.988e-05,              4.988e-05,              4.988e-05
                     60,                 0.4425,                 5.6135,                0.70022,                0.43129,                  1.218,                 0.3316,                      1,                  0.398,                 0.3184,                      0,                      0,                      0,                      0,                 1.2747,                 7.3224,                0.74551,                 2.5259,                 1.2882,              3.127e-05,              3.127e-05,              3.127e-05
